Sanga,VasariC,Giambullari,Ghiberti,Minerbetti,Vasari,Borghini,Bartoli
fornire,figlioli,giudicherete,intra,monache,dà,lasciare,avute
vol,comandarmi,sospesa,radiale,risposi,venuta,baie,soccorso
nepoti,figliolo,essendoci,accioche,pagar,illustrissimi,cor,teologi
tenermi,poppiano,xxix,sperimentatore,tornar,prior,stracco,audacia
cierto,sarei,chiunque,sensibile,vidi,1562,occhi,celata
possere,guardaroba,assicurati,forte,martello,domattina,commodità,andiate
dimattina,talmente,corrino,equale,17,domani,vuol,pelle
fateveli,perfectione,od,siano,agl,feliciti,statue,meza
ricieuto,piacie,anibal,dichiarato,viva,inporta,vorrebbe,vestito
somamente,anticaglie,importanzia,circunferentia,avevono,afatto,sento,cuore
dirli,1560,vaglio,centri,santissima,satisfazione,medaglie,bacio
vescovo,fargli,deditissimo,spera,ogn,onorata,fermare,innocenti
stava,bastiano,aggiunta,glaciale,zoccolo,conpagnia,sollecita,occasioni
verità,febre,querele,conuiene,evangelio,observandissimi,rovesci,vale
dà,excellenzia,cresima,oue,150,restami,sospetto,rallegro
vadia,cavalieri,terzi,diuersa,necessariamente,inbasciatore,destramente,doppo
errore,vendere,facemmo,nerui,tornai,dallei,saprei,talché
signora,saran,gravo,appelle,ombre,cavalieri,regola,rendono
lavorare,19,accertandolo,costui,decime,proveditore,spazio,mediante
santissimi,1573,bernardetto,no,perseo,quatro,cugino,salviati
comparse,allui,corrispondere,equali,muover,partire,vengono,sedere
xxv,protectione,procacciate,uitreo,canonico,siano,monache,sperare
supplica,sulla,unitamente,magnitudine,cesa,reverendissima,satisfazione,mandativi
venissi,particolare,comparir,specchi,piego,popiano,vecchio,nachere
stanze,pasqua,dolgo,dall,pilastro,finisca,notate,medoro
particulare,zio,anderò,punti,convien,dov,potre,bacino
resta,riceuto,notato,ciascheduno,conservi,camere,menzione,ingrossar
xx,fitto,aspettava,adunque,capriccio,fresco,abbate,raccomandomi
manderà,massime,domenico,tuniche,resta,buonarroti,proteo,cavallino
mostro,lì,mutato,tunica,ingegno,iacopo,fiorini,fareli
scrivete,saluta,ricordate,apparirä,dentro,bernardo,briga,stupenda
segua,ciascuna,comparire,trouerrä,negozio,finestre,sforzo,giocondissima
venuta,iacopo,intagliare,certifica,overo,dite,spedale,prua
venghiate,fui,guadagno,pictura,voluto,risposto,scrivervi,genitali
lassare,informazione,dimenticato,contiene,avendomi,numero,glene,immortale
aere,borghini,professione,ago,orsù,stasera,paolo,castrazione
xxx,carezze,antichità,lle,rotta,battesimo,ricordare,magnanimità
ciera,condotto,silenzio,certificata,cavar,1573,fresco,basciano
mandatomi,conti,vorresti,huomo,anche,pasqua,copia,intenderei
fiorenze,matteo,facevano,ceruello,sodisfatto,luoghi,man,caminar
porga,sento,rare,ciascuna,venendo,1566,onor,elevato
servirla,porte,tedesco,grandissima,divino,vederà,lorenzo,lauro
risposto,vogliono,tornarvi,sancto,andò,picttori,saprete,azzurri
riceuto,cominciato,godervi,exeunte,lasciar,sonma,principali,presentassi
provisione,luoghi,carattere,pergameno,arco,inn,1570,ordinerete
cappelle,illustrissimi,rispondo,cittä,spirito,hano,intendete,cristofano
comandato,sol,strasordinario,modi,pittor,verrò,effetto,amicissimo
modelli,reverendissima,veggiate,sottile,parlar,vescovo,agio,cassetta
passare,promesse,riputazione,dentro,goder,metter,numero,febraro
cugino,montalvo,faccenda,propinquo,vera,cosimo,lasciato,sedie
montepulciano,conservi,epilogo,ssi,farne,tuttavia,finché,sapienzia
pagherà,stanze,titolo,sperica,particular,carezze,prudenzia,crederrei
vista,putti,stampare,os,benissimo,entrata,ufizio,ritornata
xxi,andar,natività,differentia,torni,dargli,almeno,machina
afari,amorevolezza,incluso,peruiene,viver,sarei,particulari,marina
desiderandoli,venuta,desiderando,solamente,iulio,sagrestia,saprà,vetri
posessione,drento,fugge,giä,venisse,magior,stamattina,lieto
careze,vederla,felicemente,diuerso,galletto,corto,prudente,vesta
aff,orazioni,parecchi,cognitione,preme,arivato,grado,potenzia
scandaglio,contenta,provato,appare,stretto,pregando,mandata,fianchi
longamente,quegli,ingannato,diuerse,larghezza,academia,iersera,opi
lauda,avisi,vedeva,olimpia,entrar,gondi,sicuro,vuole
adulazione,manderà,vetturale,ji,niccolò,piano,benissimo,cartoni
dugiento,30,cordialmente,diafanitä,varchi,mdlxi,particulare,intendo
sopracciò,trova,riebbi,eile,minerva,facendo,gennaio,matteo
vielli,benissimo,forme,amendue,veggono,lì,scriverrò,rimasto
facieva,turchi,ragionerò,sie,64,debbo,quegli,visto
dimani,pianta,solite,tempio,adoperar,rescritto,metter,atto
raccomandazione,dei,raccomandano,rettamente,faccenda,fecie,parmi,grosse
saperà,ama,accomodare,aspiciente,restato,riceuto,vite,nipote
ventisette,frati,virtuosa,radiali,preghi,fui,senso,manderanno
ciela,200,adietro,auenga,fossi,direte,capi,vuol
giorgo,nostri,prestezza,multiplicatione,cortona,lelio,importanza,vasarii
itendo,bellezza,venezia,dinangi,angelo,manderà,concetti,principi
perseveri,aiuti,disegnata,rago,monasterio,osservandissimo,benvenuto,jacopo
solecitare,andrea,facesti,sentiente,vego,trovo,risoluzione,virtuosi
cie,antonio,chiesi,ui,andato,giuliano,avessino,avevi
venirà,fisco,perder,operatione,porre,dugento,caccino,armi
gienova,suto,proposto,distintione,resterò,popolo,campora,ricevuta
intimazione,domenedio,leggere,opposito,andrà,massime,schizzo,favori
presenterò,negoziato,satisfazzione,remoto,invenzion,stanza,considerato,onorata
basciateli,stivali,insino,scientia,participar,vorei,uso,pittor
tampoco,benignio,degno,infino,accomoderete,ingegnio,bisognerà,certi
doverà,salderà,fastidii,fanciullo,terrena,restante,taddeo,indisposizione
palazo,catene,vederlo,luoghi,abiamo,inprese,avuta,tempio
ofizio,disegniato,dovendo,uirile,gallina,resta,farebbe,dallo
lasserò,bolognia,amorevolmente,distinctione,debitamente,livorno,cervello,erano
mdlxvi,fiscale,mandino,uolta,matrimoniale,contenta,rispetti,guerra
quatro,soprali,vino,compresa,andrebbe,aiuti,ragionato,mandovi
botticelli,insiemi,versi,risguarda,inarrivando,servitù,cotesta,spirito
anderò,mdlx,visita,reflexiuamente,relliquie,sacra,quivi,vorrete
sodisfatto,davite,presenzialmente,sectione,arrivando,nobili,simili,schizzo
antonio,unn,scrivessi,albugineo,anitre,ufizio,farlo,varie
grazie,bini,intero,decliue,patisca,dirà,avesse,pittori
statue,scarpellino,alquanto,uedranno,avessero,innocenti,negli,furia
manchi,spedalingho,nasca,pupilla,postura,coro,frutti,stampa
consolazione,nisgii,almeno,pariete,opinion,nostre,intende,poteva
farne,nisgi,almanco,benche,affronto,torno,andar,sic
vogliate,restami,accordo,spere,virtuosissimo,canpanile,poca,intendendo
andate,avenga,avuta,denso,nesti,vuole,paresse,meli
pigli,pregando,tiri,inuerso,ponendo,domenica,rossi,speranze
farmi,dipositario,ritrovare,concorso,crederó,allora,darebbe,contenteza
comessione,fonderia,solita,protogine,adulator,iersera,73,principalmente
sepultura,oriuolo,principalmente,uisuale,ottantotto,amorevolezza,excellente,manderete
monsignore,aportatore,lasciamo,ja,scizzo,ell,boccaccio,angeli
bona,inpresa,vogliamo,diligentia,dipintura,vano,rovescio,lavorar
padroni,branche,conosca,rectitudine,cristianamente,100,perugino,spaccio
dificultà,portai,lingua,perpendiculari,trinità,abate,sarebbono,renda
volessi,tronba,faceva,nelli,confessoro,vadia,carità,grandissima
